horizontal,vertical,label,movement_type
1.66,1.09,2,P
1.63,1.19,2,P
1.6,1.13,2,P
1.61,1.05,2,P
1.56,1.08,2,P
1.61,1.06,2,P
1.56,0.94,2,P
1.58,0.91,2,P
1.55,0.91,2,P
1.57,0.77,2,P
1.58,0.72,2,P
1.64,0.75,2,P
1.66,0.67,2,P
1.69,0.6,2,P
1.68,0.64,2,P
1.66,0.65,2,P
1.65,0.57,2,P
1.58,0.61,2,P
1.53,0.67,2,P
1.53,0.61,2,P
1.53,0.61,2,P
1.53,0.69,2,P
1.6,0.65,2,P
1.62,0.63,2,P
1.61,0.73,2,P
1.62,0.75,2,P
1.65,0.68,2,P
1.68,0.75,2,P
1.7,0.78,2,P
1.7,0.72,2,P
1.68,0.72,2,P
1.64,0.81,2,P
1.58,0.76,2,P
1.64,0.74,2,P
1.72,0.82,2,P
1.72,0.83,2,P
1.76,0.78,2,P
1.75,0.84,2,P
1.68,0.89,2,P
1.71,0.8,2,P
1.74,0.82,2,P
1.71,0.89,2,P
1.77,0.86,2,P
1.83,0.81,2,P
1.77,0.9,2,P
1.76,0.88,2,P
1.78,0.81,2,P
1.75,0.82,2,P
1.7,0.86,2,P
1.71,0.79,2,P
1.71,0.8,2,P
1.68,0.89,2,P
1.68,0.88,2,P
1.72,0.86,2,P
1.73,0.93,2,P
1.73,0.95,2,P
1.79,0.87,2,P
1.76,0.89,2,P
1.78,0.93,2,P
1.77,0.88,2,P
1.77,0.87,2,P
1.76,0.94,2,P
1.79,0.91,2,P
1.75,0.87,2,P
1.79,0.91,2,P
1.79,0.89,2,P
1.81,0.83,2,P
1.79,0.86,2,P
1.82,0.9,2,P
1.82,0.86,2,P
1.85,0.87,2,P
1.79,0.94,2,P
1.82,0.91,2,P
1.79,0.87,2,P
1.77,0.93,2,P
1.77,0.93,2,P
1.82,0.86,2,P
1.82,0.87,2,P
1.84,0.92,2,P
1.86,0.85,2,P
1.86,0.85,2,P
1.83,0.92,2,P
1.82,0.89,2,P
1.82,0.84,2,P
1.79,0.9,2,P
1.79,0.9,2,P
1.8,0.83,2,P
1.79,0.87,2,P
1.81,0.91,2,P
1.83,0.83,2,P
1.85,0.83,2,P
1.86,0.88,2,P
1.89,0.83,2,P
1.89,0.79,2,P
1.86,0.86,2,P
1.87,0.86,2,P
1.88,0.8,2,P
1.86,0.85,2,P
1.87,0.9,2,P
1.91,0.83,2,P
1.9,0.83,2,P
1.87,0.9,2,P
1.87,0.86,2,P
1.87,0.82,2,P
1.86,0.88,2,P
1.88,0.88,2,P
1.9,0.81,2,P
1.89,0.86,2,P
1.88,0.9,2,P
1.88,0.82,2,P
1.87,0.83,2,P
1.87,0.9,2,P
1.89,0.85,2,P
1.9,0.81,2,P
1.89,0.88,2,P
1.9,0.88,2,P
1.92,0.8,2,P
1.9,0.85,2,P
1.9,0.89,2,P
1.91,0.81,2,P
1.89,0.82,2,P
1.87,0.88,2,P
1.89,0.84,2,P
1.88,0.8,2,P
1.87,0.88,2,P
1.88,0.88,2,P
1.9,0.81,2,P
1.89,0.85,2,P
1.9,0.89,2,P
1.91,0.81,2,P
1.9,0.82,2,P
1.9,0.88,2,P
1.91,0.83,2,P
1.91,0.79,2,P
1.9,0.87,2,P
1.92,0.86,2,P
1.92,0.79,2,P
1.91,0.84,2,P
1.91,0.88,2,P
1.92,0.8,2,P
1.92,0.81,2,P
1.91,0.88,2,P
1.92,0.83,2,P
1.92,0.79,2,P
1.92,0.87,2,P
1.92,0.86,2,P
1.93,0.79,2,P
1.91,0.84,2,P
1.91,0.88,2,P
1.92,0.8,2,P
1.9,0.81,2,P
1.9,0.88,2,P
1.92,0.83,2,P
1.92,0.79,2,P
1.92,0.87,2,P
1.92,0.86,2,P
1.93,0.79,2,P
1.93,0.84,2,P
1.93,0.88,2,P
1.93,0.8,2,P
1.93,0.81,2,P
1.92,0.89,2,P
1.92,0.83,2,P
1.92,0.79,2,P
1.92,0.87,2,P
1.93,0.86,2,P
1.94,0.79,2,P
1.93,0.84,2,P
1.94,0.87,2,P
1.94,0.79,2,P
1.93,0.8,2,P
1.92,0.88,2,P
1.93,0.83,2,P
1.93,0.79,2,P
1.93,0.87,2,P
1.94,0.86,2,P
1.95,0.79,2,P
1.94,0.84,2,P
1.94,0.88,2,P
1.94,0.8,2,P
1.94,0.81,2,P
1.92,0.89,2,P
1.93,0.84,2,P
1.92,0.8,2,P
1.92,0.88,2,P
1.92,0.87,2,P
1.93,0.8,2,P
1.92,0.85,2,P
1.94,0.88,2,P
1.94,0.8,2,P
1.94,0.81,2,P
1.93,0.89,2,P
1.94,0.84,2,P
1.93,0.8,2,P
1.93,0.89,2,P
1.94,0.88,2,P
1.95,0.8,2,P
1.94,0.85,2,P
1.94,0.89,2,P
1.94,0.8,2,P
1.92,0.81,2,P
1.91,0.88,2,P
1.92,0.83,2,P
1.91,0.8,2,P
1.91,0.88,2,P
1.92,0.87,2,P
1.93,0.8,2,P
1.93,0.86,2,P
1.92,0.89,2,P
1.92,0.81,2,P
1.91,0.82,2,P
1.9,0.89,2,P
1.91,0.84,2,P
1.92,0.8,2,P
1.92,0.88,2,P
1.94,0.87,2,P
1.94,0.8,2,P
1.92,0.85,2,P
1.92,0.89,2,P
1.92,0.81,2,P
1.9,0.82,2,P
1.88,0.9,2,P
1.9,0.85,2,P
1.9,0.81,2,P
1.9,0.89,2,P
1.9,0.88,2,P
1.92,0.81,2,P
1.9,0.87,2,P
1.9,0.91,2,P
1.9,0.84,2,P
1.89,0.85,2,P
1.88,0.93,2,P
