horizontal,vertical,label,movement_type
1.36,0.77,2,L
1.37,0.67,2,L
1.36,0.61,2,L
1.36,0.75,2,L
1.37,0.72,2,L
1.37,0.6,2,L
1.36,0.69,2,L
1.37,0.75,2,L
1.36,0.61,2,L
1.36,0.63,2,L
1.37,0.74,2,L
1.38,0.65,2,L
1.37,0.59,2,L
1.38,0.72,2,L
1.39,0.69,2,L
1.38,0.57,2,L
1.37,0.67,2,L
1.39,0.72,2,L
1.38,0.58,2,L
1.37,0.6,2,L
1.38,0.72,2,L
1.39,0.62,2,L
1.38,0.56,2,L
1.38,0.7,2,L
1.39,0.67,2,L
1.38,0.55,2,L
1.37,0.65,2,L
1.39,0.7,2,L
1.38,0.57,2,L
1.38,0.59,2,L
1.38,0.71,2,L
1.39,0.61,2,L
1.38,0.56,2,L
1.39,0.69,2,L
1.39,0.66,2,L
1.39,0.55,2,L
1.38,0.64,2,L
1.39,0.69,2,L
1.38,0.56,2,L
1.38,0.58,2,L
1.39,0.7,2,L
1.4,0.6,2,L
1.39,0.54,2,L
1.4,0.68,2,L
1.4,0.65,2,L
1.4,0.53,2,L
1.39,0.62,2,L
1.4,0.67,2,L
1.4,0.53,2,L
1.39,0.55,2,L
1.4,0.67,2,L
1.4,0.57,2,L
1.39,0.52,2,L
1.39,0.65,2,L
1.4,0.63,2,L
1.4,0.51,2,L
1.39,0.61,2,L
1.4,0.66,2,L
1.4,0.52,2,L
1.4,0.54,2,L
1.41,0.66,2,L
1.42,0.56,2,L
1.41,0.5,2,L
1.41,0.64,2,L
1.41,0.62,2,L
1.41,0.5,2,L
1.4,0.6,2,L
1.4,0.65,2,L
1.39,0.51,2,L
1.39,0.53,2,L
1.39,0.64,2,L
1.4,0.54,2,L
1.39,0.48,2,L
1.4,0.61,2,L
1.41,0.59,2,L
1.4,0.47,2,L
1.39,0.56,2,L
1.4,0.61,2,L
1.4,0.48,2,L
1.39,0.5,2,L
1.39,0.62,2,L
1.4,0.51,2,L
1.38,0.46,2,L
1.39,0.59,2,L
1.4,0.56,2,L
1.4,0.45,2,L
1.39,0.55,2,L
1.4,0.59,2,L
1.4,0.45,2,L
1.4,0.48,2,L
1.4,0.59,2,L
1.41,0.49,2,L
1.4,0.44,2,L
1.4,0.58,2,L
1.4,0.55,2,L
1.39,0.44,2,L
1.38,0.54,2,L
1.39,0.58,2,L
1.39,0.44,2,L
1.38,0.47,2,L
1.39,0.58,2,L
1.4,0.48,2,L
1.38,0.43,2,L
1.38,0.57,2,L
1.38,0.53,2,L
1.37,0.42,2,L
1.36,0.52,2,L
1.37,0.57,2,L
1.36,0.43,2,L
1.35,0.46,2,L
1.36,0.58,2,L
1.36,0.47,2,L
1.36,0.43,2,L
1.37,0.56,2,L
1.38,0.52,2,L
1.37,0.4,2,L
1.37,0.5,2,L
1.38,0.55,2,L
1.37,0.42,2,L
1.36,0.45,2,L
1.37,0.56,2,L
1.38,0.46,2,L
1.36,0.42,2,L
1.37,0.55,2,L
1.37,0.51,2,L
1.37,0.4,2,L
1.36,0.5,2,L
1.37,0.54,2,L
1.37,0.4,2,L
1.36,0.43,2,L
1.37,0.54,2,L
1.39,0.44,2,L
1.37,0.39,2,L
1.38,0.53,2,L
1.38,0.49,2,L
1.37,0.38,2,L
1.36,0.48,2,L
1.37,0.52,2,L
1.36,0.39,2,L
1.36,0.43,2,L
1.36,0.53,2,L
1.37,0.42,2,L
1.36,0.38,2,L
1.37,0.51,2,L
1.37,0.47,2,L
1.37,0.36,2,L
1.36,0.47,2,L
1.37,0.51,2,L
1.36,0.38,2,L
1.35,0.41,2,L
1.36,0.52,2,L
1.37,0.41,2,L
1.36,0.37,2,L
1.37,0.5,2,L
1.37,0.46,2,L
1.37,0.35,2,L
1.37,0.45,2,L
1.38,0.49,2,L
1.38,0.36,2,L
1.37,0.39,2,L
1.37,0.5,2,L
1.38,0.4,2,L
1.36,0.36,2,L
1.37,0.48,2,L
1.37,0.44,2,L
1.36,0.33,2,L
1.36,0.43,2,L
1.37,0.47,2,L
1.36,0.34,2,L
1.36,0.38,2,L
1.36,0.49,2,L
1.37,0.37,2,L
1.36,0.33,2,L
1.37,0.45,2,L
1.38,0.41,2,L
1.37,0.3,2,L
1.36,0.41,2,L
1.37,0.45,2,L
1.36,0.33,2,L
1.36,0.37,2,L
1.36,0.48,2,L
1.37,0.36,2,L
1.36,0.33,2,L
1.36,0.44,2,L
1.37,0.4,2,L
1.36,0.29,2,L
1.35,0.4,2,L
1.36,0.44,2,L
1.35,0.32,2,L
1.35,0.36,2,L
1.36,0.47,2,L
1.37,0.35,2,L
1.36,0.31,2,L
1.37,0.42,2,L
1.38,0.38,2,L
1.37,0.27,2,L
1.36,0.39,2,L
1.38,0.42,2,L
1.37,0.31,2,L
1.37,0.35,2,L
1.37,0.44,2,L
1.38,0.33,2,L
1.36,0.29,2,L
1.37,0.4,2,L
1.37,0.36,2,L
1.36,0.26,2,L
1.35,0.37,2,L
1.36,0.4,2,L
1.35,0.29,2,L
1.34,0.34,2,L
1.34,0.43,2,L
1.35,0.31,2,L
1.33,0.28,2,L
1.34,0.38,2,L
1.35,0.33,2,L
1.34,0.23,2,L
1.34,0.35,2,L
1.35,0.38,2,L
1.34,0.28,2,L
1.34,0.32,2,L
1.35,0.41,2,L
1.36,0.29,2,L
1.35,0.26,2,L
1.36,0.36,2,L
1.36,0.31,2,L
1.35,0.22,2,L
1.35,0.34,2,L
1.35,0.37,2,L
1.34,0.27,2,L
1.33,0.31,2,L
1.34,0.4,2,L
1.34,0.29,2,L
1.33,0.26,2,L
1.34,0.36,2,L
1.35,0.31,2,L
1.34,0.22,2,L
1.33,0.34,2,L
1.34,0.37,2,L
1.33,0.27,2,L
1.32,0.32,2,L
1.33,0.41,2,L
1.34,0.29,2,L
1.33,0.27,2,L
1.34,0.37,2,L
1.35,0.32,2,L
1.34,0.23,2,L
1.34,0.35,2,L
1.35,0.37,2,L
1.34,0.28,2,L
1.33,0.33,2,L
1.33,0.42,2,L
1.33,0.3,2,L
1.32,0.27,2,L
1.32,0.37,2,L
1.32,0.32,2,L
1.32,0.23,2,L
1.31,0.35,2,L
1.32,0.37,2,L
1.32,0.27,2,L
1.31,0.33,2,L
1.32,0.41,2,L
1.32,0.3,2,L
1.3,0.27,2,L
1.31,0.37,2,L
1.31,0.32,2,L
1.31,0.23,2,L
1.3,0.35,2,L
1.31,0.37,2,L
1.31,0.28,2,L
1.3,0.33,2,L
1.31,0.42,2,L
1.32,0.3,2,L
1.31,0.28,2,L
1.32,0.38,2,L
1.33,0.33,2,L
1.32,0.23,2,L
1.32,0.35,2,L
1.33,0.38,2,L
1.32,0.28,2,L
1.32,0.33,2,L
1.32,0.42,2,L
1.32,0.3,2,L
1.31,0.28,2,L
1.32,0.38,2,L
1.32,0.33,2,L
1.31,0.23,2,L
1.3,0.35,2,L
1.31,0.38,2,L
1.3,0.28,2,L
1.3,0.33,2,L
1.31,0.42,2,L
1.31,0.3,2,L
1.3,0.28,2,L
1.31,0.38,2,L
1.31,0.33,2,L
1.31,0.24,2,L
1.3,0.36,2,L
1.31,0.38,2,L
1.3,0.28,2,L
1.29,0.33,2,L
1.29,0.43,2,L
1.29,0.31,2,L
1.28,0.29,2,L
1.29,0.39,2,L
1.3,0.34,2,L
1.29,0.24,2,L
1.29,0.36,2,L
1.3,0.38,2,L
1.29,0.28,2,L
1.29,0.34,2,L
1.31,0.43,2,L
1.31,0.31,2,L
1.3,0.29,2,L
1.31,0.39,2,L
1.32,0.33,2,L
1.3,0.24,2,L
1.3,0.36,2,L
1.31,0.38,2,L
1.3,0.28,2,L
1.29,0.34,2,L
1.3,0.44,2,L
1.3,0.31,2,L
1.29,0.29,2,L
1.3,0.4,2,L
1.31,0.34,2,L
1.29,0.24,2,L
1.29,0.37,2,L
1.3,0.39,2,L
1.29,0.28,2,L
1.29,0.34,2,L
1.3,0.44,2,L
1.3,0.31,2,L
1.29,0.3,2,L
1.3,0.4,2,L
1.3,0.34,2,L
1.28,0.25,2,L
1.28,0.37,2,L
1.28,0.39,2,L
1.27,0.28,2,L
1.27,0.35,2,L
1.28,0.44,2,L
1.28,0.32,2,L
1.26,0.31,2,L
1.27,0.41,2,L
1.27,0.35,2,L
1.26,0.26,2,L
1.26,0.39,2,L
1.27,0.41,2,L
1.26,0.3,2,L
1.26,0.37,2,L
1.28,0.46,2,L
1.28,0.34,2,L
1.27,0.32,2,L
1.29,0.43,2,L
1.29,0.37,2,L
1.28,0.28,2,L
1.28,0.41,2,L
1.29,0.42,2,L
1.27,0.31,2,L
1.27,0.37,2,L
1.29,0.46,2,L
1.29,0.34,2,L
1.28,0.33,2,L
1.3,0.44,2,L
1.3,0.38,2,L
1.28,0.29,2,L
1.28,0.41,2,L
1.29,0.43,2,L
1.27,0.31,2,L
1.26,0.38,2,L
1.28,0.47,2,L
1.28,0.35,2,L
1.27,0.34,2,L
1.28,0.46,2,L
