horizontal,vertical,label,movement_type
1.52,0.24,3,D
1.5,0.32,3,D
1.52,0.3,3,D
1.54,0.26,3,D
1.51,0.32,3,D
1.52,0.34,3,D
1.54,0.28,3,D
1.52,0.3,3,D
1.51,0.36,3,D
1.54,0.31,3,D
1.54,0.29,3,D
1.52,0.37,3,D
1.53,0.35,3,D
1.54,0.3,3,D
1.51,0.37,3,D
1.52,0.38,3,D
1.54,0.32,3,D
1.52,0.34,3,D
1.51,0.4,3,D
1.54,0.34,3,D
1.54,0.33,3,D
1.52,0.4,3,D
1.53,0.38,3,D
1.55,0.32,3,D
1.52,0.38,3,D
1.52,0.4,3,D
1.54,0.33,3,D
1.53,0.35,3,D
1.52,0.4,3,D
1.55,0.34,3,D
1.55,0.32,3,D
1.53,0.39,3,D
1.54,0.37,3,D
1.56,0.32,3,D
1.53,0.38,3,D
1.54,0.4,3,D
